X,Y,Operator,Opref,Sitengr,Antennaht,Transtype,Freqband,Anttype,Powerdbw,Maxpwrdbw,Maxpwrdbm,Sitelat,Sitelng,pcd_sector,geo_code
451053.1336,206899.4691,Orange,OXF7008,SP5095006950,12,UMTS,2100,MICROCELL,19.4,,65,51.758463,-1.261726,OX1 2,38
451393.1587,206269.3498,O2,12404,SP5129006320,6,GSM,900,Sectored,7.73,32,,51.752767,-1.256893,OX1 3,38
451986.2515,206818.4539,O2,36808,SP5188306869,11.5,GSM,900,Sectored,20.5,32,,51.757649,-1.24822,OX1 3,38
451353.139,206199.4233,O2,35680,SP5125006250,5,UMTS,2100,Sectored,12.59,,65,51.752142,-1.257483,OX1 3,38
451986.2515,206818.4539,O2,36808,SP5188306869,13.8,UMTS,2100,Sectored,25.5,,65,51.757649,-1.24822,OX1 3,38
451353.1831,206249.3663,Orange,OXF0065,SP5125006300,21,GSM,1800,SECTOR,28.7,32,,51.752591,-1.257475,OX1 3,38
451373.1842,206339.4443,Orange,OXF7070,SP5127006390,5,GSM,1800,MICROCELL,19,32,,51.753399,-1.257172,OX1 3,38
451373.1842,206339.4443,Orange,OXF7070,SP5127006390,5,UMTS,2100,MICROCELL,17.8,,65,51.753399,-1.257172,OX1 3,38
451403.1489,206359.4373,Orange,OXF7075,SP5130006410,7,GSM,1800,MICROCELL,18.5,32,,51.753576,-1.256735,OX1 3,38
451403.1489,206359.4373,Orange,OXF7075,SP5130006410,7,UMTS,2100,MICROCELL,17.3,,65,51.753576,-1.256735,OX1 3,38
451427.1501,206280.3742,Three,OX0334,SP5132406331,22,UMTS,2100,Sectored,26.35,,65,51.752863,-1.256399,OX1 3,38
451427.1501,206280.3742,T-Mobile,61345,SP5132406331,22,GSM,1800,SECTOR,26,32,,51.752863,-1.256399,OX1 3,38
451427.1501,206280.3742,T-Mobile,61345,SP5132406331,22,GSM,1800,SECTOR,26,32,,51.752863,-1.256399,OX1 3,38
451427.1501,206280.3742,T-Mobile,61345,SP5132406331,22,GSM,1800,SECTOR,26,32,,51.752863,-1.256399,OX1 3,38
451239.1499,206268.3401,T-Mobile,71389,SP5113606319,4,GSM,1800,SECTOR,11,32,,51.752772,-1.259124,OX1 3,38
451404.1538,206240.4306,T-Mobile,71390,SP5130106291,4,GSM,1800,SECTOR,10,32,,51.752506,-1.256738,OX1 3,38
451391.1731,206369.4373,T-Mobile,71399,SP5128806420,4,GSM,1800,SECTOR,11,32,,51.753667,-1.256907,OX1 3,38
451569.1654,206421.418,T-Mobile,71401,SP5146606472,4,GSM,1800,SECTOR,10,32,,51.754118,-1.254321,OX1 3,38
451227.1455,206308.3726,T-Mobile,71406,SP5112406359,4,GSM,1800,SECTOR,10,32,,51.753133,-1.259292,OX1 3,38
451325.1323,206448.4065,T-Mobile,71408,SP5122206499,4,GSM,1800,SECTOR,11,32,,51.754383,-1.257852,OX1 3,38
451370.1266,206341.4154,T-Mobile,71410,SP5126706392,4,GSM,1800,SECTOR,11,32,,51.753417,-1.257216,OX1 3,38
451203.1329,206749.4925,T-Mobile,71420,SP5110006800,6,GSM,1800,SECTOR,10,32,,51.757101,-1.259575,OX1 3,38
451262.1719,206353.4429,Vodafone,1894,SP5115906404,25.5,GSM,900,Macro,26.8,32,,51.753535,-1.258778,OX1 3,38
451262.1719,206353.4429,Vodafone,1894,SP5115906404,24.5,GSM,900,Macro,25.8,32,,51.753535,-1.258778,OX1 3,38
451262.1719,206353.4429,Vodafone,1894,SP5115906404,21.5,GSM,900,Macro,26.5,32,,51.753535,-1.258778,OX1 3,38
451262.1719,206353.4429,Vodafone,1894,SP5115906404,24,GSM,1800,Macro,26.2,32,,51.753535,-1.258778,OX1 3,38
451262.1719,206353.4429,Vodafone,1894,SP5115906404,24,GSM,1800,Macro,26.5,32,,51.753535,-1.258778,OX1 3,38
451262.1719,206353.4429,Vodafone,1894,SP5115906404,21,GSM,1800,Macro,25.8,32,,51.753535,-1.258778,OX1 3,38
451999.2723,206787.4433,Vodafone,22296,SP5189606838,10,GSM,900,Macro,25.5,32,,51.757369,-1.248036,OX1 3,38
451999.2723,206787.4433,Vodafone,22296,SP5189606838,10,GSM,900,Macro,25.5,32,,51.757369,-1.248036,OX1 3,38
451999.2723,206787.4433,Vodafone,22296,SP5189606838,10,GSM,900,Macro,25.5,32,,51.757369,-1.248036,OX1 3,38
451999.2723,206787.4433,Vodafone,22296,SP5189606838,10,UMTS,2100,Macro,28.9,,65,51.757369,-1.248036,OX1 3,38
451999.2723,206787.4433,Vodafone,22296,SP5189606838,10,UMTS,2100,Macro,28.9,,65,51.757369,-1.248036,OX1 3,38
451999.2723,206787.4433,Vodafone,22296,SP5189606838,10,UMTS,2100,Macro,28.9,,65,51.757369,-1.248036,OX1 3,38
451441.1745,206130.3556,O2,7296,SP5133806181,6,GSM,900,Omni,10.41,32,,51.751513,-1.256218,OX1 4,38
451377.1626,206172.4162,O2,33705,SP5127406223,2,GSM,900,Sectored,-9.9,32,,51.751897,-1.257139,OX1 4,38
451463.1588,206039.3704,Orange,OXF0186,SP5136006090,22.5,GSM,1800,SECTOR,29.4,32,,51.750693,-1.255913,OX1 4,38
451463.1588,206039.3704,Orange,OXF0186,SP5136006090,22.5,UMTS,2100,SECTOR,29.7,,65,51.750693,-1.255913,OX1 4,38
451523.1828,206239.4196,Orange,OXF7074,SP5142006290,5,GSM,1800,MICROCELL,16.5,32,,51.752486,-1.255014,OX1 4,38
451523.1828,206239.4196,Orange,OXF7074,SP5142006290,5,UMTS,2100,MICROCELL,18.4,,65,51.752486,-1.255014,OX1 4,38
452091.22,203769.1413,Three,OX0012,SP5198803820,13.3,UMTS,2100,Sectored,18.7,,65,51.730225,-1.247155,OX1 4,38
451538.2106,206275.3894,T-Mobile,71391,SP5143506326,4,GSM,1800,SECTOR,10,32,,51.752808,-1.254791,OX1 4,38
451482.1658,206152.3523,T-Mobile,71394,SP5137906203,4,GSM,1800,SECTOR,10,32,,51.751707,-1.255621,OX1 4,38
451745.2393,205185.2211,Vodafone,55576,SP5164205236,10,GSM,900,Macro,24.7,32,,51.742988,-1.251954,OX1 4,38
451745.2393,205185.2211,Vodafone,55576,SP5164205236,10,GSM,900,Macro,24.7,32,,51.742988,-1.251954,OX1 4,38
451745.2393,205185.2211,Vodafone,55576,SP5164205236,10,GSM,900,Macro,24.7,32,,51.742988,-1.251954,OX1 4,38
451745.2393,205185.2211,Vodafone,55576,SP5164205236,10,UMTS,2100,Macro,27.5,,65,51.742988,-1.251954,OX1 4,38
451745.2393,205185.2211,Vodafone,55576,SP5164205236,10,UMTS,2100,Macro,27.5,,65,51.742988,-1.251954,OX1 4,38
451745.2393,205185.2211,Vodafone,55576,SP5164205236,10,UMTS,2100,Macro,27.5,,65,51.742988,-1.251954,OX1 4,38
448431.8122,202885.0532,Airwave,TVY023D,SP4832902936,21.6,TETRA,400,Omni,17,25,,51.722604,-1.300259,OX1 5,38
448511.7718,202896.0532,O2,506,SP4840902947,19,GSM,900,Sectored,23.86,32,,51.722696,-1.2991,OX1 5,38
452881.3128,200778.7961,O2,2848,SP5277800830,14,GSM,900,Sectored,24,32,,51.703267,-1.236169,OX1 5,38
451374.1334,204217.1742,O2,9924,SP5127104268,19.1,GSM,900,Sectored,23.75,32,,51.734319,-1.257471,OX1 5,38
448511.7718,202896.0532,O2,54259,SP4840902947,19,UMTS,900,Sectored,26.87,32,,51.722696,-1.2991,OX1 5,38
452881.3128,200778.7961,O2,2848,SP5277800830,14.9,UMTS,2100,Sectored,28.7,,65,51.703267,-1.236169,OX1 5,38
451374.1334,204217.1742,O2,9924,SP5127104268,19.1,UMTS,2100,Sectored,27,,65,51.734319,-1.257471,OX1 5,38
448422.7712,202949.0345,Orange,OXF0103,SP4832003000,40,GSM,1800,SECTOR,27.5,32,,51.72318,-1.300381,OX1 5,38
448422.7712,202949.0345,Orange,OXF0103,SP4832003000,40,UMTS,2100,SECTOR,27.8,,65,51.72318,-1.300381,OX1 5,38
448402.8067,202949.0657,Three,OX0223,SP4830003000,30.3,UMTS,2100,Sectored,25.65,,65,51.723182,-1.30067,OX1 5,38
451691.157,201581.8039,T-Mobile,63158,SP5158801633,3,GSM,1800,SECTOR,0,32,,51.710597,-1.253271,OX1 5,38
448402.8067,202949.0657,T-Mobile,93302,SP4830003000,31,GSM,1800,SECTOR,26,32,,51.723182,-1.30067,OX1 5,38
448402.8067,202949.0657,T-Mobile,93302,SP4830003000,31,GSM,1800,SECTOR,26,32,,51.723182,-1.30067,OX1 5,38
448402.8067,202949.0657,T-Mobile,93302,SP4830003000,31,GSM,1800,SECTOR,26,32,,51.723182,-1.30067,OX1 5,38
448212.7184,202888.9645,Vodafone,567,SP4811002940,14,GSM,900,Macro,27,32,,51.722658,-1.30343,OX1 5,38
448212.7184,202888.9645,Vodafone,567,SP4811002940,22.5,GSM,900,Macro,26.5,32,,51.722658,-1.30343,OX1 5,38
448212.7184,202888.9645,Vodafone,567,SP4811002940,22.5,GSM,900,Macro,26.5,32,,51.722658,-1.30343,OX1 5,38
451683.1947,201373.8336,Vodafone,4750,SP5158001425,19,GSM,900,Macro,25.5,32,,51.708728,-1.253417,OX1 5,38
451683.1947,201373.8336,Vodafone,4750,SP5158001425,19,GSM,900,Macro,25.5,32,,51.708728,-1.253417,OX1 5,38
451683.1947,201373.8336,Vodafone,4750,SP5158001425,19,UMTS,2100,Macro,28.1,,65,51.708728,-1.253417,OX1 5,38
451683.1947,201373.8336,Vodafone,4750,SP5158001425,19,UMTS,2100,Macro,28.1,,65,51.708728,-1.253417,OX1 5,38
451393.1388,204209.1365,Vodafone,22213,SP5129004260,30,GSM,900,Macro,22.6,32,,51.734245,-1.257197,OX1 5,38
451393.1388,204209.1365,Vodafone,22213,SP5129004260,30,GSM,900,Macro,22.6,32,,51.734245,-1.257197,OX1 5,38
451393.1388,204209.1365,Vodafone,22213,SP5129004260,30,GSM,900,Macro,22.4,32,,51.734245,-1.257197,OX1 5,38
451393.1388,204209.1365,Vodafone,22213,SP5129004260,30,GSM,1800,Macro,24.6,32,,51.734245,-1.257197,OX1 5,38
451393.1388,204209.1365,Vodafone,22213,SP5129004260,30,GSM,1800,Macro,24.6,32,,51.734245,-1.257197,OX1 5,38
451393.1388,204209.1365,Vodafone,22213,SP5129004260,30,GSM,1800,Macro,24.4,32,,51.734245,-1.257197,OX1 5,38
451393.1388,204209.1365,Vodafone,22213,SP5129004260,30,UMTS,2100,Macro,27.5,,65,51.734245,-1.257197,OX1 5,38
451393.1388,204209.1365,Vodafone,22213,SP5129004260,30,UMTS,2100,Macro,27.5,,65,51.734245,-1.257197,OX1 5,38
451393.1388,204209.1365,Vodafone,22213,SP5129004260,30,UMTS,2100,Macro,27.2,,65,51.734245,-1.257197,OX1 5,38
460223.2277,189513.4577,O2,1407,SU6011989566,27,GSM,900,Sectored,24.1,32,,51.601251,-1.131875,OX100,38
460223.2277,189513.4577,O2,1407,SU6011989566,24.3,UMTS,2100,Sectored,28,,65,51.601251,-1.131875,OX100,38
459304.1088,191147.6258,Orange,OXF0120,SU5920091200,14.5,GSM,1800,SECTOR,29.5,32,,51.61604,-1.144868,OX100,38
459304.1088,191147.6258,Orange,OXF0120,SU5920091200,14.5,UMTS,2100,SECTOR,28.7,,65,51.61604,-1.144868,OX100,38
458565.9882,191599.6537,Three,OX0092,SU5846291652,20,UMTS,2100,Sectored,26.56,,65,51.620181,-1.155452,OX100,38
465966.8921,186213.9697,Airwave,TVY107B,SU6586286267,19.3,TETRA,400,Directional,21,25,,51.570946,-1.049577,OX106,38
462344.5107,190647.5153,Orange,OXF0061,SU6224090700,15,GSM,1800,SECTOR,28.1,32,,51.611216,-1.10105,OX106,38
461714.4096,192577.8079,Three,OX0258,SU6161092630,16.85,UMTS,2100,Sectored,17.79,,65,51.628639,-1.109809,OX106,38
461714.4096,192577.8079,Three,OX0336,SU6161092630,11,UMTS,2100,Sectored,17.89,,65,51.628639,-1.109809,OX106,38
461714.4096,192577.8079,T-Mobile,91853,SU6161092630,16,GSM,1800,SECTOR,27,32,,51.628639,-1.109809,OX106,38
461714.4096,192577.8079,T-Mobile,91853,SU6161092630,16,GSM,1800,SECTOR,27,32,,51.628639,-1.109809,OX106,38
461714.4096,192577.8079,T-Mobile,91853,SU6161092630,16,GSM,1800,SECTOR,27,32,,51.628639,-1.109809,OX106,38
462319.4513,190663.5584,Vodafone,4308,SU6221590716,15,GSM,900,Macro,26,32,,51.611363,-1.101409,OX106,38
462319.4513,190663.5584,Vodafone,4308,SU6221590716,15,GSM,900,Macro,26,32,,51.611363,-1.101409,OX106,38
462319.4513,190663.5584,Vodafone,4308,SU6221590716,15,GSM,900,Macro,26,32,,51.611363,-1.101409,OX106,38
462319.4513,190663.5584,Vodafone,4308,SU6221590716,15,UMTS,2100,Macro,28.9,,65,51.611363,-1.101409,OX106,38
462319.4513,190663.5584,Vodafone,4308,SU6221590716,15,UMTS,2100,Macro,28.9,,65,51.611363,-1.101409,OX106,38
462319.4513,190663.5584,Vodafone,4308,SU6221590716,15,UMTS,2100,Macro,28.9,,65,51.611363,-1.101409,OX106,38
457567.8771,196644.2277,Airwave,TVY139,SU5746496696,35.35,TETRA,400,Omni,17,25,,51.665636,-1.169039,OX107,38
457571.9113,196642.2714,O2,651,SU5746896694,33.5,GSM,900,Sectored,24.79,32,,51.665618,-1.168981,OX107,38
457571.9113,196642.2714,O2,54269,SU5746896694,33.5,UMTS,900,Sectored,26.8,32,,51.665618,-1.168981,OX107,38
457571.9113,196642.2714,O2,651,SU5746896694,33.5,GSM,1800,Sectored,27.7,32,,51.665618,-1.168981,OX107,38
457553.9277,196648.2958,Orange,OXF0062,SU5745096700,18,GSM,1800,SECTOR,27.2,32,,51.665674,-1.16924,OX107,38
457578.8987,196648.2461,Three,OX0226,SU5747596700,40.35,UMTS,2100,Sectored,17.89,,65,51.665671,-1.168879,OX107,38
457578.8987,196648.2461,T-Mobile,93306,SU5747596700,30,GSM,1800,SECTOR,26,32,,51.665671,-1.168879,OX107,38
457578.8987,196648.2461,T-Mobile,93306,SU5747596700,30,GSM,1800,SECTOR,26,32,,51.665671,-1.168879,OX107,38
457578.8987,196648.2461,T-Mobile,93306,SU5747596700,30,GSM,1800,SECTOR,26,32,,51.665671,-1.168879,OX107,38
457563.9328,196638.2875,Vodafone,22001,SU5746096690,27.4,GSM,900,Macro,26.1,32,,51.665583,-1.169097,OX107,38
457563.9328,196638.2875,Vodafone,22001,SU5746096690,27.4,GSM,900,Macro,25.9,32,,51.665583,-1.169097,OX107,38
457563.9328,196638.2875,Vodafone,22001,SU5746096690,27.4,GSM,900,Macro,26.4,32,,51.665583,-1.169097,OX107,38
458964.0333,183158.6546,Airwave,TVY053E,SU5886083212,11.7,TETRA,400,Directional,21,25,,51.544252,-1.151118,OX109,38
459989.1572,189227.3785,Airwave,TVY150A,SU5988589280,31.2,TETRA,400,Omni,17,25,,51.598704,-1.135303,OX109,38
458870.0505,185642.996,Network Rail,42,SU5876685696,15,GSM,900,MACRO,26.5,32,,51.566597,-1.152058,OX109,38
458870.0505,185642.996,Network Rail,42,SU5876685696,15,GSM,900,MACRO,26.5,32,,51.566597,-1.152058,OX109,38
458584.0113,184706.9153,O2,3827,SU5848084760,26,GSM,900,Sectored,22.5,32,,51.558211,-1.15634,OX109,38
458584.0113,184706.9153,O2,3827,SU5848084760,26,UMTS,2100,Sectored,28,,65,51.558211,-1.15634,OX109,38
459659.1364,185819.9383,Orange,OXF0011,SU5955585873,20,GSM,1800,SECTOR,26.6,32,,51.568105,-1.140645,OX109,38
459659.1364,185819.9383,Orange,OXF0011,SU5955585873,20,UMTS,2100,SECTOR,28.9,,65,51.568105,-1.140645,OX109,38
459994.1454,189227.3262,Orange,OXF0115,SU5989089280,22,GSM,1800,SECTOR,27.6,32,,51.598703,-1.135231,OX109,38
459994.1454,189227.3262,Orange,OXF0115,SU5989089280,22,UMTS,2100,SECTOR,27.4,,65,51.598703,-1.135231,OX109,38
459893.1743,186177.0733,Three,OX0329,SU5978986230,21.8,UMTS,2100,Sectored,25.65,,65,51.571291,-1.137208,OX109,38
459989.1572,189227.3785,Three,OX0332,SU5988589280,28,UMTS,2100,Sectored,25.75,,65,51.598704,-1.135303,OX109,38
459989.1572,189227.3785,T-Mobile,61259,SU5988589280,28,GSM,1800,SECTOR,25,32,,51.598704,-1.135303,OX109,38
459989.1572,189227.3785,T-Mobile,61259,SU5988589280,28,GSM,1800,SECTOR,25,32,,51.598704,-1.135303,OX109,38
459989.1572,189227.3785,T-Mobile,61259,SU5988589280,28,GSM,1800,SECTOR,25,32,,51.598704,-1.135303,OX109,38
459644.15,185826.9923,T-Mobile,91938,SU5954085880,17.5,GSM,1800,SECTOR,26,32,,51.56817,-1.14086,OX109,38
459644.15,185826.9923,T-Mobile,91938,SU5954085880,17.5,GSM,1800,SECTOR,26,32,,51.56817,-1.14086,OX109,38
459644.15,185826.9923,T-Mobile,91938,SU5954085880,17.5,GSM,1800,SECTOR,26,32,,51.56817,-1.14086,OX109,38
459659.1364,185819.9383,Vodafone,728,SU5955585873,25,GSM,900,Macro,25.4,32,,51.568105,-1.140645,OX109,38
459659.1364,185819.9383,Vodafone,728,SU5955585873,25,GSM,900,Macro,25.9,32,,51.568105,-1.140645,OX109,38
459659.1364,185819.9383,Vodafone,728,SU5955585873,25,GSM,900,Macro,25.9,32,,51.568105,-1.140645,OX109,38
459989.1572,189227.3785,Vodafone,22206,SU5988589280,24,GSM,900,Macro,25.2,32,,51.598704,-1.135303,OX109,38
459989.1572,189227.3785,Vodafone,22206,SU5988589280,24,GSM,900,Macro,25.2,32,,51.598704,-1.135303,OX109,38
459989.1572,189227.3785,Vodafone,22206,SU5988589280,24,GSM,900,Macro,25.2,32,,51.598704,-1.135303,OX109,38
459893.1743,186177.0733,Vodafone,77570,SU5978986230,27.8,GSM,900,Macro,27.3,32,,51.571291,-1.137208,OX109,38
459893.1743,186177.0733,Vodafone,77570,SU5978986230,27.8,GSM,900,Macro,27.3,32,,51.571291,-1.137208,OX109,38
459893.1743,186177.0733,Vodafone,77570,SU5978986230,27.8,GSM,900,Macro,27.3,32,,51.571291,-1.137208,OX109,38
447592.612,189104.4272,O2,138,SU4749089157,37,GSM,900,Sectored,23.28,32,,51.59878,-1.314279,OX110,38
447592.612,189104.4272,O2,138,SU4749089157,37,GSM,1800,Sectored,25.42,32,,51.59878,-1.314279,OX110,38
449222.8019,183396.7031,Orange,BRK0031,SU4912083450,15,GSM,1800,SECTOR,27.1,32,,51.547324,-1.291543,OX110,00MB
449802.8819,188447.3698,Orange,OXF0105,SU4970088500,22,GSM,1800,SECTOR,28.2,32,,51.592682,-1.282464,OX110,38
449802.8819,188447.3698,Orange,OXF0105,SU4970088500,22,UMTS,2100,SECTOR,27.7,,65,51.592682,-1.282464,OX110,38
446852.5312,186807.1765,Orange,OXF0196,SU4675086860,19,UMTS,2100,SECTOR,29.6,,65,51.578188,-1.325269,OX110,38
447752.6475,186147.0897,Orange,OXF7004,SU4765086200,8,GSM,1800,SECTOR,23.7,32,,51.572178,-1.31237,OX110,38
448122.6748,187217.2402,Orange,OXF7005,SU4802087270,9,GSM,1800,SECTOR,27.2,32,,51.581768,-1.306885,OX110,38
447600.623,189114.4015,Three,OX0039,SU4749889167,28,UMTS,2100,Sectored,18.7,,65,51.598869,-1.314162,OX110,38
447602.5941,185947.0321,Three,OX0225,SU4750086000,29.35,UMTS,2100,Sectored,17.89,,65,51.570392,-1.314562,OX110,38
449212.8023,183426.7485,Three,RG1431,SU4911083480,19,UMTS,2100,Sectored,18.7,,65,51.547595,-1.291683,OX110,00MB
447602.5941,185947.0321,T-Mobile,93305,SU4750086000,30,GSM,1800,SECTOR,26,32,,51.570392,-1.314562,OX110,38
447602.5941,185947.0321,T-Mobile,93305,SU4750086000,30,GSM,1800,SECTOR,26,32,,51.570392,-1.314562,OX110,38
447602.5941,185947.0321,T-Mobile,93305,SU4750086000,30,GSM,1800,SECTOR,26,32,,51.570392,-1.314562,OX110,38
447593.6134,189108.4408,Vodafone,174,SU4749189161,42.3,GSM,900,Macro,25.9,32,,51.598816,-1.314264,OX110,38
447593.6134,189108.4408,Vodafone,174,SU4749189161,42.3,GSM,900,Macro,25.9,32,,51.598816,-1.314264,OX110,38
447593.6134,189108.4408,Vodafone,174,SU4749189161,42.3,GSM,900,Macro,25.9,32,,51.598816,-1.314264,OX110,38
447619.6201,185957.0907,Vodafone,8896,SU4751786010,25,GSM,900,Macro,26.1,32,,51.570481,-1.314315,OX110,38
447619.6201,185957.0907,Vodafone,8896,SU4751786010,25,GSM,900,Macro,26.1,32,,51.570481,-1.314315,OX110,38
447619.6201,185957.0907,Vodafone,8896,SU4751786010,25,GSM,900,Macro,26.1,32,,51.570481,-1.314315,OX110,38
449202.7743,183416.7524,Vodafone,22409,SU4910083470,15.2,GSM,900,Macro,26.5,32,,51.547506,-1.291829,OX110,00MB
449202.7743,183416.7524,Vodafone,22409,SU4910083470,15.2,GSM,900,Macro,26,32,,51.547506,-1.291829,OX110,00MB
451129.0691,189729.439,Vodafone,61195,SU5102689782,10,UMTS,2100,Macro,26.9,,65,51.60409,-1.263135,OX110,38
451129.0691,189729.439,Vodafone,61195,SU5102689782,10,UMTS,2100,Macro,27.3,,65,51.60409,-1.263135,OX110,38
451129.0691,189729.439,Vodafone,61195,SU5102689782,10,UMTS,2100,Macro,27,,65,51.60409,-1.263135,OX110,38
449780.872,189949.4999,Three,OX0200,SU4967890002,13,UMTS,2100,Sectored,17.79,,65,51.606189,-1.282569,OX116,38
449870.9085,189949.4942,Vodafone,22403,SU4976890002,12,GSM,900,Macro,26.1,32,,51.606181,-1.281269,OX116,38
449870.9085,189949.4942,Vodafone,22403,SU4976890002,12,GSM,900,Macro,26.1,32,,51.606181,-1.281269,OX116,38
452174.2226,190707.5415,Network Rail,41,SU5207190760,29,GSM,900,MACRO,26.5,32,,51.612788,-1.2479,OX117,38
452174.2226,190707.5415,Network Rail,41,SU5207190760,29,GSM,900,MACRO,26.5,32,,51.612788,-1.2479,OX117,38
452095.2138,190693.6045,O2,37122,SU5199290746,12,GSM,900,Sectored,21.5,32,,51.61267,-1.249043,OX117,38
452103.1947,191837.6707,Orange,OXF0131,SU5200091890,35,GSM,1800,SECTOR,25.6,32,,51.622955,-1.248758,OX117,38
452103.1947,191837.6707,Orange,OXF0131,SU5200091890,35,UMTS,2100,SECTOR,27.1,,65,51.622955,-1.248758,OX117,38
449152.8609,191497.6674,Orange,OXF0170,SU4905091550,20,GSM,1800,SECTOR,29.3,32,,51.620163,-1.29142,OX117,38
449152.8609,191497.6674,Orange,OXF0170,SU4905091550,20,UMTS,2100,SECTOR,28.9,,65,51.620163,-1.29142,OX117,38
